group, algorithm, domain, instance, cost, generated, time, states for sec 
X, dfid, topSpin16-4, "10 1 12 3 7 13 6 2 8 14 11 9 0 5 4 15", na, na, na, na
X, dfid, topSpin16-4, "0 4 3 2 1 5 6 7 11 10 9 8 12 13 14 15", 1, 41, 0.000426, 96244.1
X, dfid, topSpin16-4, "11 3 5 2 12 0 8 9 7 6 14 4 1 10 13 15", na, na, na, na
X, dfid, topSpin16-4, "8 5 9 14 12 13 6 7 11 10 1 3 4 2 0 15", na, na, na, na
X, dfid, topSpin16-4, "0 13 6 7 5 10 11 1 9 12 8 3 4 14 2 15", na, na, na, na
X, dfid, topSpin16-4, "14 6 12 1 10 0 9 2 5 8 13 7 4 11 3 15", na, na, na, na
X, dfid, topSpin16-4, "9 8 6 1 2 4 5 10 14 13 12 11 7 3 0 15", na, na, na, na
X, dfid, topSpin16-4, "14 6 7 10 9 2 8 4 5 3 1 13 12 11 0 15", na, na, na, na
X, dfid, topSpin16-4, "0 10 5 6 11 7 8 9 12 1 2 14 13 4 3 15", na, na, na, na
X, dfid, topSpin16-4, "0 7 5 11 6 14 4 2 10 13 1 9 3 8 12 15", na, na, na, na
X, dfid, topSpin16-4, "0 1 2 9 5 4 3 10 6 7 13 12 11 8 14 15", 3, 7626, 0.051617, 147742
X, dfid, topSpin16-4, "3 7 6 1 2 0 9 8 5 12 11 10 4 13 14 15", 5, 322960, 2.17211, 148685
X, dfid, topSpin16-4, "3 1 6 5 2 0 9 8 7 4 10 14 13 12 11 15", 5, 301042, 2.03559, 147889
X, dfid, topSpin16-4, "8 3 7 4 5 6 9 10 11 1 14 13 12 0 2 15", na, na, na, na
X, dfid, topSpin16-4, "13 14 7 2 3 4 6 5 11 10 0 1 12 8 9 15", na, na, na, na
X, dfid, topSpin16-4, "10 11 12 5 14 2 1 0 6 7 3 9 13 4 8 15", na, na, na, na
X, dfid, topSpin16-4, "5 4 9 12 8 1 2 3 6 14 11 7 13 0 10 15", na, na, na, na
X, dfid, topSpin16-4, "13 8 2 10 14 4 6 0 9 1 12 11 5 7 3 15", na, na, na, na
X, dfid, topSpin16-4, "10 11 12 14 4 5 1 13 7 6 2 3 8 9 0 15", 5, 621558, 4.27045, 145549
X, dfid, topSpin16-4, "14 2 7 11 6 9 1 10 5 4 13 0 8 12 3 15", na, na, na, na
X, dfid, topSpin16-4, "1 3 7 6 8 5 4 2 9 0 12 14 13 11 10 15", na, na, na, na
X, dfid, topSpin16-4, "3 2 1 0 12 5 6 7 11 10 4 8 9 13 14 15", 5, 180057, 1.25064, 143972
X, dfid, topSpin16-4, "0 12 13 14 4 3 2 1 8 7 6 5 9 10 11 15", 3, 2492, 0.018843, 132251
X, dfid, topSpin16-4, "0 1 2 3 7 6 5 9 10 11 4 14 13 12 8 15", 3, 11656, 0.087341, 133454
X, dfid, topSpin16-4, "11 1 14 8 3 0 2 5 6 9 13 4 7 12 10 15", na, na, na, na
X, dfid, topSpin16-4, "0 4 3 6 7 2 1 5 8 9 10 14 13 12 11 15", 3, 8289, 0.052525, 157811
X, dfid, topSpin16-4, "3 5 4 12 10 8 9 11 13 1 14 0 7 2 6 15", na, na, na, na
X, dfid, topSpin16-4, "8 0 13 3 9 11 2 1 5 10 12 14 6 7 4 15", na, na, na, na
X, dfid, topSpin16-4, "1 2 12 7 6 8 4 14 13 11 0 9 5 10 3 15", na, na, na, na
X, dfid, topSpin16-4, "0 1 5 4 3 11 7 6 2 10 13 12 8 9 14 15", 3, 9417, 0.063777, 147655
X, dfid, topSpin16-4, "14 2 3 4 7 11 10 5 6 9 8 12 13 1 0 15", 3, 8499, 0.060843, 139687
X, dfid, topSpin16-4, "3 2 1 0 8 9 13 12 4 5 6 7 11 10 14 15", 5, 196917, 1.32197, 148957
X, dfid, topSpin16-4, "0 8 14 4 3 6 11 10 2 12 5 1 13 9 7 15", na, na, na, na
X, dfid, topSpin16-4, "8 5 12 11 9 10 13 0 1 3 7 6 2 4 14 15", na, na, na, na
X, dfid, topSpin16-4, "14 13 4 5 1 2 8 9 3 6 7 0 12 11 10 15", 5, 823779, 5.54078, 148676
X, dfid, topSpin16-4, "5 6 8 7 3 2 9 10 11 12 13 14 4 1 0 15", 3, 6265, 0.041927, 149426
X, dfid, topSpin16-4, "2 1 5 6 9 13 12 7 14 10 11 8 3 4 0 15", 5, 620109, 4.2157, 147095
X, dfid, topSpin16-4, "7 12 4 3 6 5 13 9 2 14 8 11 1 10 0 15", na, na, na, na
X, dfid, topSpin16-4, "3 4 12 11 6 5 8 7 10 9 13 14 2 1 0 15", 3, 5491, 0.035444, 154920
X, dfid, topSpin16-4, "14 13 5 1 0 3 2 9 8 7 6 10 11 12 4 15", 3, 12341, 0.087436, 141143
X, dfid, topSpin16-4, "0 3 14 11 12 2 1 13 4 5 6 7 8 9 10 15", 3, 4066, 0.031261, 130066
X, dfid, topSpin16-4, "0 4 5 1 2 3 6 13 9 8 7 12 11 10 14 15", 3, 5180, 0.040063, 129296
X, dfid, topSpin16-4, "9 8 14 0 1 5 4 10 6 7 11 3 2 12 13 15", na, na, na, na
X, dfid, topSpin16-4, "3 4 9 13 6 5 8 7 12 11 10 14 2 1 0 15", 3, 5503, 0.043708, 125904
X, dfid, topSpin16-4, "6 7 5 2 14 10 9 12 0 1 13 3 8 11 4 15", na, na, na, na
X, dfid, topSpin16-4, "0 4 3 2 1 5 9 8 7 6 10 11 12 13 14 15", 1, 39, 0.000416, 93750
X, dfid, topSpin16-4, "7 5 13 12 2 8 11 1 6 9 10 14 0 3 4 15", na, na, na, na
X, dfid, topSpin16-4, "3 4 5 9 8 7 12 11 10 6 13 0 1 2 14 15", 3, 10627, 0.076292, 139294
X, dfid, topSpin16-4, "0 1 2 3 4 8 7 6 5 12 11 10 9 13 14 15", 1, 103, 0.001709, 60269.2
X, dfid, topSpin16-4, "11 3 13 1 6 4 5 12 9 0 7 10 14 8 2 15", na, na, na, na
X, dfid, topSpin16-4, "1 0 4 5 9 11 10 8 13 2 6 7 3 14 12 15", na, na, na, na
X, dfid, topSpin16-4, "14 1 0 13 4 3 2 10 11 12 9 8 7 5 6 15", na, na, na, na
X, dfid, topSpin16-4, "3 2 1 0 4 11 9 5 8 10 7 13 12 6 14 15", na, na, na, na
X, dfid, topSpin16-4, "0 1 2 6 7 3 4 5 10 11 12 8 9 13 14 15", 3, 8368, 0.063219, 132365
X, dfid, topSpin16-4, "3 0 7 6 2 1 5 4 8 9 10 11 12 13 14 15", 3, 3583, 0.024707, 145020
X, dfid, topSpin16-4, "1 11 2 12 10 6 14 4 8 9 0 3 13 5 7 15", na, na, na, na
X, dfid, topSpin16-4, "8 3 5 12 11 7 10 6 2 4 1 14 13 9 0 15", na, na, na, na
X, dfid, topSpin16-4, "4 5 8 9 10 11 12 2 1 0 13 14 3 7 6 15", 5, 836681, 5.69383, 146945
X, dfid, topSpin16-4, "0 10 3 2 1 6 5 4 7 8 9 12 11 13 14 15", 5, 287934, 1.95791, 147062
X, dfid, topSpin16-4, "14 12 10 13 7 8 9 11 0 2 1 6 3 4 5 15", na, na, na, na
X, dfid, topSpin16-4, "2 9 3 7 1 10 11 4 8 5 14 13 12 6 0 15", na, na, na, na
X, dfid, topSpin16-4, "2 3 4 7 8 12 5 6 11 10 9 14 13 1 0 15", 5, 496106, 3.35557, 147846
X, dfid, topSpin16-4, "3 4 7 14 10 9 8 13 12 11 2 6 5 0 1 15", 5, 517217, 3.56851, 144939
X, dfid, topSpin16-4, "0 5 10 14 13 4 3 11 7 12 8 9 6 1 2 15", na, na, na, na
X, dfid, topSpin16-4, "8 9 5 4 3 13 14 12 0 1 7 11 2 6 10 15", na, na, na, na
X, dfid, topSpin16-4, "0 6 11 13 7 1 12 3 4 5 9 14 2 8 10 15", na, na, na, na
